Chamber,1,Data,File,,
C:\Users\UT,South,Western,MC\Documents\MED,Associates\MEDCMG\mouse,1
IR=,6,SD=,14.5,MP=,67.37
9/14/23,8:48:26,AM,,,
Time,Motion,Scale,Vol,Vol,Pressure
112,0,0.04,8.9,8.9,22.7
112.25,0,0.04,9,9,22.7
112.5,0,0.04,9,9,23
112.75,0,0.04,9,9,23
113,0,0.04,9,9,23
113.25,0,0.04,9.1,9.1,23.1
113.5,0,0.04,9.1,9.1,23.2
113.75,0,0.04,9.1,9.1,23.4
114,0,0.04,9.1,9.1,23.4
114.25,0,0.04,9.2,9.2,23.4
114.5,0,0.04,9.2,9.2,23.4
114.75,0,0.04,9.2,9.2,23.4
115,0,0.04,9.2,9.2,23.4
115.25,0,0.04,9.3,9.3,23.7
115.5,1,0,9.3,9.3,23.7
115.75,0,0,9.3,9.3,23.7
116,0,0,9.3,9.3,23.9
116.25,0,0,9.4,9.4,23.3
116.5,0,0,9.4,9.4,21.9
116.75,0,0,9.4,9.4,21.4
117,0,0,9.4,9.4,20.7
117.25,0,0,9.5,9.5,20.1
117.5,0,0,9.5,9.5,19.6
117.75,0,-0.001,9.5,9.5,19.2
118,0,-0.001,9.5,9.5,18.9
118.25,0,-0.001,9.6,9.6,18.8
118.5,0,-0.001,9.6,9.6,18.6
118.75,0,-0.001,9.6,9.6,18.4
119,0,-0.001,9.6,9.6,18.4
119.25,0,-0.001,9.7,9.7,18.4
119.5,0,-0.001,9.7,9.7,18.2
119.75,0,-0.001,9.7,9.7,18.1
120,0,-0.001,9.7,9.7,18.3
120.25,0,-0.001,9.8,9.8,18.4
120.5,0,-0.002,9.8,9.8,18.1
120.75,0,-0.002,9.8,9.8,18.1
121,0,-0.002,9.8,9.8,18.3
121.25,0,-0.002,9.9,9.9,18.4
121.5,0,-0.002,9.9,9.9,18.3
121.75,0,-0.002,9.9,9.9,18.1
122,0,-0.002,9.9,9.9,18.4
122.25,0,-0.002,10,10,18.4
122.5,0,-0.002,10,10,18.1
122.75,0,-0.002,10,10,18.1
123,0,-0.002,10,10,18.4
123.25,0,-0.002,10.1,10.1,18.4
123.5,0,-0.002,10.1,10.1,18.4
123.75,0,-0.002,10.1,10.1,18.7
124,0,-0.003,10.1,10.1,19.1
124.25,0,-0.003,10.2,10.2,19.3
124.5,0,-0.003,10.2,10.2,19.9
124.75,0,-0.003,10.2,10.2,20.7
125,0,-0.003,10.2,10.2,22.5
125.25,0,-0.003,10.3,10.3,23.2
125.5,0,-0.003,10.3,10.3,24.3
125.75,0,-0.003,10.3,10.3,24.8
126,0,-0.003,10.3,10.3,26.1
126.25,0,-0.003,10.4,10.4,28
126.5,0,-0.003,10.4,10.4,27.7
126.75,0,-0.003,10.4,10.4,27.7
127,0,-0.003,10.4,10.4,28.2
127.25,0,-0.003,10.5,10.5,28.8
127.5,0,-0.003,10.5,10.5,27.8
127.75,0,-0.003,10.5,10.5,26.4
128,0,-0.003,10.5,10.5,25.2
128.25,0,-0.003,10.6,10.6,24.3
128.5,0,-0.003,10.6,10.6,24.6
128.75,0,-0.003,10.6,10.6,24.8
129,0,-0.003,10.6,10.6,25
129.25,0,-0.003,10.7,10.7,25.1
129.5,0,-0.003,10.7,10.7,24.5
129.75,0,-0.003,10.7,10.7,24.9
130,0,-0.003,10.7,10.7,25.1
130.25,0,-0.003,10.8,10.8,25.3
130.5,0,-0.003,10.8,10.8,25.5
130.75,0,-0.003,10.8,10.8,25.6
131,0,-0.003,10.8,10.8,25.7
131.25,0,-0.003,10.9,10.9,26
131.5,0,-0.003,10.9,10.9,26
131.75,0,-0.003,10.9,10.9,26.3
132,0,-0.003,10.9,10.9,26.3
132.25,0,-0.003,11,11,26.6
132.5,0,-0.003,11,11,26.6
132.75,0,-0.003,11,11,26.9
133,0,-0.003,11,11,27
133.25,0,-0.003,11.1,11.1,27.2
133.5,0,-0.003,11.1,11.1,27.3
133.75,0,-0.003,11.1,11.1,27.4
134,0,-0.003,11.1,11.1,27.6
134.25,0,-0.003,11.2,11.2,27.6
134.5,0,-0.003,11.2,11.2,27.8
134.75,0,-0.003,11.2,11.2,26.6
135,0,-0.003,11.2,11.2,26.2
135.25,0,-0.003,11.3,11.3,26.4
135.5,0,-0.003,11.3,11.3,26.1
135.75,0,-0.003,11.3,11.3,25.7
136,0,-0.003,11.3,11.3,25.5
136.25,0,-0.003,11.4,11.4,25.2
136.5,0,-0.003,11.4,11.4,24
136.75,0,-0.003,11.4,11.4,23
137,0,-0.003,11.4,11.4,19.3
137.25,0,-0.003,11.5,11.5,18.4
137.5,0,-0.003,11.5,11.5,18.7
137.75,0,-0.004,11.5,11.5,18.8
138,0,-0.004,11.5,11.5,17.4
138.25,0,-0.004,11.6,11.6,14.7
138.5,0,-0.004,11.6,11.6,14.7
138.75,0,-0.004,11.6,11.6,15.5
139,0,-0.004,11.6,11.6,15.9
139.25,0,-0.004,11.7,11.7,16.1
139.5,0,-0.004,11.7,11.7,16.1
139.75,0,-0.004,11.7,11.7,16.3
140,0,-0.004,11.7,11.7,16.4
140.25,0,-0.004,11.8,11.8,16.4
140.5,0,-0.004,11.8,11.8,16.6
140.75,0,-0.004,11.8,11.8,16.8
141,0,-0.004,11.8,11.8,17.1
141.25,0,-0.004,11.9,11.9,17.2
141.5,0,-0.004,11.9,11.9,17.4
141.75,0,-0.004,11.9,11.9,17.5
142,0,-0.004,11.9,11.9,17.1
142.25,0,-0.004,12,12,17.3
142.5,0,-0.004,12,12,17.4
142.75,0,-0.004,12,12,14.6
143,0,-0.005,12,12,12.3
143.25,0,-0.005,12.1,12.1,12.9
143.5,0,-0.005,12.1,12.1,13.5
143.75,0,-0.005,12.1,12.1,13.8
144,0,-0.005,12.1,12.1,13.8
144.25,0,-0.005,12.2,12.2,13.8
144.5,0,-0.005,12.2,12.2,14.1
144.75,0,-0.005,12.2,12.2,14.2
145,0,-0.005,12.2,12.2,14.5
145.25,0,-0.005,12.3,12.3,14.8
145.5,0,-0.005,12.3,12.3,14.9
145.75,0,-0.005,12.3,12.3,14.8
146,0,-0.005,12.3,12.3,14.8
146.25,0,-0.005,12.4,12.4,15
146.5,0,-0.005,12.4,12.4,14.9
146.75,0,-0.005,12.4,12.4,14.8
147,0,-0.005,12.4,12.4,12.9
147.25,0,-0.004,12.5,12.5,11
147.5,0,-0.004,12.5,12.5,10.2
147.75,0,-0.004,12.5,12.5,10
148,0,-0.004,12.5,12.5,10.5
148.25,0,-0.004,12.6,12.6,10.6
148.5,0,-0.004,12.6,12.6,10.9
148.75,0,-0.004,12.6,12.6,11.1
149,0,-0.004,12.6,12.6,11.2
149.25,0,-0.004,12.7,12.7,11.4
149.5,0,-0.004,12.7,12.7,11.6
149.75,0,-0.004,12.7,12.7,11.8
150,0,-0.004,12.7,12.7,12
150.25,0,-0.004,12.8,12.8,12.2
150.5,0,-0.004,12.8,12.8,12.4
150.75,0,-0.004,12.8,12.8,12.5
151,0,-0.004,12.8,12.8,12.8
151.25,0,-0.004,12.9,12.9,12.9
151.5,0,-0.004,12.9,12.9,13.2
151.75,0,-0.004,12.9,12.9,13.1
152,0,-0.004,12.9,12.9,12.9
152.25,0,-0.004,13,13,12.9
152.5,0,-0.004,13,13,10.6
152.75,0,-0.004,13,13,9.9
153,0,-0.004,13,13,9.7
153.25,0,-0.004,13.1,13.1,10.1
153.5,0,-0.004,13.1,13.1,10.3
153.75,0,-0.004,13.1,13.1,10.5
154,0,-0.004,13.1,13.1,10.7
154.25,0,-0.004,13.2,13.2,10.9
154.5,0,-0.004,13.2,13.2,11
154.75,0,-0.004,13.2,13.2,11.2
155,0,-0.004,13.2,13.2,11.4
155.25,0,-0.004,13.3,13.3,11.5
155.5,0,-0.004,13.3,13.3,11.8
155.75,0,-0.004,13.3,13.3,11.9
156,0,-0.004,13.3,13.3,12.2
156.25,0,-0.004,13.4,13.4,12.2
156.5,0,-0.004,13.4,13.4,12.5
